vowel,closure,burst,language,phon_ctxt_stress,phon_ctxt_canonical_vl,mimic,Block.Type,MinimalPairID,Word,Sound,phon_ctxt_r,phon_ctxt_l,phon_ctxt_n,Item.Filename,syllable,Item.MinimalPair,Item.Word,syllable_duration,num_of_segments
0.379511687,0.171304264,0.111257631,non-native,yes,long,yes,test,7,vid,/d/,no,no,no,TDF_7_vid,1,S7,TDF_7_vid,0.924938272,3
0.46721968,0.167733977,0.108610324,non-native,yes,long,yes,test,8,nod,/d/,no,no,no,TDF_8_nod,1,S8,TDF_8_nod,0.973408163,3
0.392975417,0.188285909,0.100595066,non-native,yes,long,yes,test,9,bod,/d/,no,no,no,TDF_9_bod,1,S9,TDF_9_bod,0.909557641,3
0.408996956,0.191918056,0.097686254,non-native,yes,long,yes,test,10,brod,/d/,no,no,no,TDF_10_brod,1,S10,TDF_10_brod,0.977424639,4
0.40414189,0.190760645,0.102749055,non-native,yes,long,yes,test,11,svid,/d/,no,no,no,TDF_11_svid,1,S11,TDF_11_svid,0.937649543,4
0.488385805,0.138291927,0.065151357,non-native,yes,long,yes,test,12,smed,/d/,no,no,no,TDF_12_smed,1,S12,TDF_12_smed,1.126152697,4
0.397914268,0.175915167,0.094206865,non-native,yes,long,yes,test,13,ljud,/d/,no,no,no,TDF_13_ljud,1,S13,TDF_13_ljud,0.909583417,3
0.441964084,0.124843443,0.097259678,non-native,yes,long,yes,test,14,mod,/d/,no,no,no,TDF_14_mod,1,S14,TDF_14_mod,0.935775019,3
0.391170267,0.109356765,0.114582011,non-native,yes,long,yes,test,15,nod15,/d/,no,no,no,TDF_15_nod,1,S15,TDF_15_nod,0.77637415,3
0.241527009,0.048017407,0.053311629,non-native,yes,short,yes,test,16,fond,/d/,no,no,yes,TDF_16_fond,1,S16,TDF_16_fond,0.84685691,4
0.400934434,0.147245413,0.067442039,non-native,yes,long,yes,test,17,sked,/d/,no,no,no,TDF_17_sked,1,S17,TDF_17_sked,0.782317735,3
0.469639638,0.137952775,0.093907785,non-native,yes,long,yes,test,18,sjud,/d/,no,no,no,TDF_18_sjud,1,S18,TDF_18_sjud,0.883741311,3
0.387427476,0.143939099,0.099666343,non-native,yes,long,yes,test,19,sjod,/d/,no,no,no,TDF_19_sjod,1,S19,TDF_19_sjod,0.798299948,3
0.393811707,0.177222222,0.098044218,non-native,yes,long,yes,test,20,god,/d/,no,no,no,TDF_20_god,1,S20,TDF_20_god,0.701572513,3
0.469863578,0.209569803,0.07651455,non-native,yes,long,yes,test,21,ljod,/d/,no,no,no,TDF_21_ljod,1,S21,TDF_21_ljod,0.875172323,3
0.424812655,0.093577367,0.06366969,non-native,yes,long,yes,test,22,hed,/d/,no,no,no,TDF_22_hed,1,S22,TDF_22_hed,0.727981859,3
0.492782046,0.098615016,0.105388033,non-native,yes,long,yes,test,23,hud,/d/,no,no,no,TDF_23_hud,1,S23,TDF_23_hud,0.788802309,3
0.482121371,0.174063577,0.038396492,non-native,yes,long,yes,test,24,smid,/d/,no,no,no,TDF_24_smid,1,S24,TDF_24_smid,1.041054048,4
0.152399547,0.037947846,0.160868697,non-native,yes,short,yes,test,25,synd,/d/,no,no,yes,TDF_25_synd,1,S25,TDF_25_synd,1.064582192,4
0.100726311,0.057289448,0.095851568,non-native,yes,short,yes,test,26,rymd,/d/,no,no,yes,TDF_26_rymd,1,S26,TDF_26_rymd,0.839246383,4
0.163569273,0.046664147,0.124848828,non-native,yes,short,yes,test,27,sand,/d/,no,no,yes,TDF_27_sand,1,S27,TDF_27_sand,0.852758484,4
0.213682953,0.172852846,0.107212396,non-native,yes,short,yes,test,28,brand,/d/,no,no,yes,TDF_28_brand,1,S28,TDF_28_brand,1.072767952,5
0.146005731,0.297844073,0.115355726,non-native,yes,short,yes,test,29,baadd,/d/,no,no,no,TDF_29_baadd,1,S29,TDF_29_baadd,0.728032514,3
0.144243716,0.234711058,0.140726195,non-native,yes,short,yes,test,30,sladd,/d/,no,no,no,TDF_30_sladd,1,S30,TDF_30_sladd,0.779213827,4
0.146505524,0.215200302,0.109225246,non-native,yes,short,yes,test,31,brodd,/d/,no,no,no,TDF_31_brodd,1,S31,TDF_31_brodd,0.739890565,4
0.444412438,0.216287982,0.084647266,non-native,yes,long,yes,test,32,hoard,/d/,yes,no,no,TDF_32_hoard,1,S32,TDF_32_hoard,0.888517368,4
0.27204322,0.171820194,0.102592978,native,yes,long,irrelevant,test,1,rit,/t/,no,no,no,TTF_1_rit,1,S1,TTF_1_rit,0.701765549,3
0.302590384,0.184140769,0.100743332,native,yes,long,irrelevant,test,2,vet,/t/,no,no,no,TTF_2_vet,1,S2,TTF_2_vet,0.732671246,3
0.259574994,0.185230193,0.099307114,native,yes,long,irrelevant,test,3,raat,/t/,no,no,no,TTF_3_raat,1,S3,TTF_3_raat,0.696981562,3
0.270355186,0.18063062,0.124182271,native,yes,long,irrelevant,test,4,roet,/t/,no,no,no,TTF_4_roet,1,S4,TTF_4_roet,0.751310162,3
0.326204075,0.185472173,0.117514782,native,yes,long,irrelevant,test,5,voat,/t/,no,no,no,TTF_5_voat,1,S5,TTF_5_voat,0.777568934,3
0.298192165,0.191822411,0.09420212,native,yes,long,irrelevant,test,6,voart,/t/,yes,no,no,TTF_6_voart,1,S6,TTF_6_voart,0.743499441,4
0.2822519,0.167731375,0.100313318,native,yes,long,irrelevant,test,7,vit,/t/,no,no,no,TTF_7_vit,1,S7,TTF_7_vit,0.72422619,3
