Speaker,sound,word,set,rhyme,word_duration,cues,burst,closure,vowel
E13,t,night,2,391,441.0000001,raw,58,192,141
E13,t,night,3,405,487.9999999,raw,87,161,157
E13,t,not,1,499,610.0000007,raw,139,169,191
E13,t,not,2,412,525.0000005,raw,59,157,196
E13,t,not,3,466,548.0000003,raw,76,215,175
E13,t,pat,1,427,547.9999995,raw,98,210,119
E13,t,pat,2,474,565.9999996,raw,108,183,183
E13,t,pat,3,463,515.9999998,raw,79,203,181
E13,t,pet,1,367,448.9999998,raw,87,179,101
E13,t,pet,2,400,467.0000001,raw,68,222,110
E13,t,pet,3,368,457.9999999,raw,73,217,78
E13,d,pond,1,521,674.0000006,raw,88,160,273
E13,d,pond,2,492,590.9999997,raw,85,97,310
E13,d,pond,3,515,617.9999995,raw,66,44,405
E13,t,pot,1,391,508.0000002,raw,74,201,116
E13,t,pot,2,443,518.0000001,raw,67,266,110
E13,t,pot,3,500,581.0000006,raw,96,221,183
E13,d,pound,1,547,676.9999994,raw,112,130,305
E13,d,pound,2,568,648.9999993,raw,75,33,460
E13,d,pound,3,513,600,raw,77,75,361
E13,t,pout,1,433,558.9999997,raw,120,188,125
E13,t,pout,2,442,550.0000004,raw,93,214,135
E13,t,pout,3,467,557.0000005,raw,117,223,127
E13,t,put,1,353,425.9999998,raw,95,181,77
E13,t,put,2,376,441.0000004,raw,92,183,101
E13,d,ride,1,558,703.0000005,raw,117,98,343
E13,d,ride,2,315,598.9999997,raw,65,68,182
E13,d,ride,3,393,589.9999999,raw,55,67,271
E13,d,rod,1,451,631.9999999,raw,91,94,266
E13,d,rod,2,439,578.9999997,raw,107,91,241
E13,d,rod,3,379,511.0000004,raw,60,83,236
E13,d,rode,1,393,546.0000006,raw,92,72,229
E13,d,rode,2,398,594,raw,93,98,207
E13,d,rode,3,427,601.0000001,raw,107,126,194
E13,d,sad,1,484,692.0000003,raw,67,67,350
E13,d,sad,2,476,665.9999997,raw,57,70,349
E13,d,sad,3,480,650.9999991,raw,51,79,350
E13,d,said,1,359,540.9999991,raw,81,94,184
E13,d,said,2,351,533.0000003,raw,78,87,186
E13,d,said,3,370,582.9999995,raw,99,78,193
E13,t,shot,1,474,675.0000002,raw,109,178,187
E13,t,shot,2,509,683.0000002,raw,125,132,252
E13,t,shot,3,515,681.9999998,raw,94,245,176
E13,t,shout,1,443,649.0000008,raw,47,204,192
E13,t,shout,2,496,647.9999998,raw,49,217,230
