Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,syllable,Item.Word
E11,/t/,neat,2,0.183,0.142,0.162,yes,no,yes,1,neat
E11,/t/,neat,3,0.189,0.135,0.155,yes,no,yes,1,neat
E11,/d/,need,1,0.169,0.078,0.298,yes,no,yes,1,need
E11,/d/,need,2,0.121,0.1,0.283,yes,no,yes,1,need
E11,/d/,need,3,0.144,0.088,0.29,yes,no,yes,1,need
E11,/t/,night,1,0.265,0.124,0.251,yes,no,yes,1,night
E11,/t/,night,2,0.216,0.154,0.212,yes,no,yes,1,night
E11,/t/,night,3,0.185,0.13,0.206,yes,no,yes,1,night
E11,/t/,not,1,0.246,0.123,0.262,yes,no,yes,1,not
E11,/t/,not,2,0.235,0.132,0.269,yes,no,yes,1,not
E11,/t/,not,3,0.207,0.099,0.301,yes,no,yes,1,not
E11,/t/,pat,1,0.193,0.114,0.22,yes,no,no,1,pat
E11,/t/,pat,2,0.208,0.109,0.264,yes,no,no,1,pat
E11,/t/,pat,3,0.206,0.16,0.2,yes,no,no,1,pat
E11,/t/,pet,1,0.2,0.142,0.125,yes,no,no,1,pet
E11,/t/,pet,2,0.25,0.195,0.136,yes,no,no,1,pet
E11,/t/,pet,3,0.224,0.175,0.127,yes,no,no,1,pet
E11,/d/,pond,1,0.058,0.042,0.389,yes,yes,no,1,pond
E11,/d/,pond,2,0.111,0.077,0.383,yes,yes,no,1,pond
E11,/t/,pot,1,0.166,0.113,0.211,yes,no,no,1,pot
E11,/t/,pot,2,0.224,0.123,0.249,yes,no,no,1,pot
E11,/t/,pot,3,0.199,0.118,0.234,yes,no,no,1,pot
E11,/d/,pound,1,0.123,0.023,0.427,yes,yes,no,1,pound
E11,/d/,pound,2,0.09,0.022,0.456,yes,yes,no,1,pound
E11,/t/,pout,1,0.278,0.118,0.209,yes,no,no,1,pout
E11,/t/,pout,2,0.255,0.152,0.183,yes,no,no,1,pout
E11,/t/,pout,3,0.222,0.149,0.189,yes,no,no,1,pout
E11,/t/,put,1,0.293,0.106,0.155,yes,no,no,1,put
E11,/t/,put,2,0.272,0.152,0.166,yes,no,no,1,put
E11,/t/,put,3,0.273,0.1,0.156,yes,no,no,1,put
E11,/d/,ride,1,0.153,0.073,0.468,yes,no,yes,1,ride
E11,/d/,ride,2,0.126,0.062,0.512,yes,no,yes,1,ride
E11,/d/,ride,3,0.117,0.063,0.531,yes,no,yes,1,ride
E11,/d/,rod,1,0.133,0.084,0.382,yes,no,yes,1,rod
E11,/d/,rod,2,0.106,0.077,0.386,yes,no,yes,1,rod
E11,/d/,rod,3,0.124,0.097,0.396,yes,no,yes,1,rod
E11,/d/,rode,1,0.111,0.059,0.212,yes,no,yes,1,rode
