Speaker,Sound,Word,set,phon_ctxt_stress,syllable,Item.Word,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,has_long_vowel,syllable_duration,word_duration,num_of_segments,combo,Type,burst,closure,vowel
E15,/t/,cut,2,yes,1,cut,no,no,no,no,no,no,no,0.421,0.421,3,E15_cut_2,old,0.096,0.141,0.104
E15,/t/,cut,3,yes,1,cut,no,no,no,no,no,no,no,0.465,0.465,3,E15_cut_3,old,0.103,0.122,0.116
E9,/t/,cut,1,yes,1,cut,no,no,no,no,no,no,no,0.451,0.451,3,E9_cut_1,old,0.122,0.115,0.111
E9,/t/,cut,2,yes,1,cut,no,no,no,no,no,no,no,0.461,0.461,3,E9_cut_2,old,0.124,0.104,0.133
E9,/t/,cut,3,yes,1,cut,no,no,no,no,no,no,no,0.448,0.448,3,E9_cut_3,old,0.135,0.101,0.124
E1,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.371,0.371,3,E1_feed_1,old,0.104,0.03,0.184
E1,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.541,0.541,3,E1_feed_2,old,0.102,0.019,0.184
E1,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.473,0.473,3,E1_feed_3,old,0.114,0.017,0.194
E10,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.426,0.426,3,E10_feed_1,old,0.106,0.034,0.241
E10,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.496,0.496,3,E10_feed_2,old,0.129,0.041,0.239
E10,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.407,0.407,3,E10_feed_3,old,0.1,0.032,0.23
E11,/d/,feed,1,yes,1,feed,no,no,no,no,no,no,no,0.731,0.731,3,E11_feed_1,old,0.103,0.077,0.321
E11,/d/,feed,2,yes,1,feed,no,no,no,no,no,no,no,0.761,0.761,3,E11_feed_2,old,0.18,0.099,0.309
E11,/d/,feed,3,yes,1,feed,no,no,no,no,no,no,no,0.782,0.782,3,E11_feed_3,old,0.16,0.109,0.31
